,Document_No,Dominant_Topic_1,Topic_Keywords_1,Question,Avg_J,Avg_SD,Avg_C
0,0,27,"for, follow, int, code, runtime, method, get, correctly, property, class","The runtime for the following code fragment is ?(f(n)). What is f(n)?for (int i=0; i<n; i++) for (int j=0; j<i/10; j++) for (int k=1; k<n; k=2*k) System.out.println(i);
",0.12178466020811349,0.1985851967552067,0.2062641839418181
1,1,32,"index, definition, low, high, possible, bind, parent, assume, lecture, exist","An algorithm has time complexity . Using the Definition of Big-Oh as given in the 2019 Week 1a Lecture (slide 14), fix B = 4.Assuming, what is the lowest possible value of b for which the definition holds?
",0.13793092159791737,0.2215918145123311,0.24566298826747657
2,2,41,"sort, take, use, selection, many, order, would, bubble, quick, ascend","Which one of the following sorting algorithms is the quickest for an almost sorted array?
",0.10659999887262427,0.18758417243502265,0.19481650184685637
3,3,47,"complexity, time, for, give, large, asymptotic, follow, loop, byo, nest","What is the Big oh complexity of heap sort?
",0.16227376445752664,0.2661953583280979,0.2842575591227551
4,4,35,"sort, algorithm, follow, stable, average, best, unstable, would, insertionsort, equal","What is the time complexity of Dijkstra's Algorithm without a min-priority queue?
",0.1422623402120137,0.24360398591503327,0.24952937244831724
5,5,17,"insertion, already, term, label, counter, may, many, suitable, situation, use","Santa has had one too many beers while flying the sleigh back to the North Pole when the police pull him over. The police ask for hisEASA Part-FCL commercial pilot license (CPL) and he realises that he left it in one of 60 remaining gift boxes. The gift box he needs to find is labelled ""Santa Claus"" with ""North Pole"" on. Each location ""e.g Africa"" is put into its own pile, there are 12 remaining piles in total. Each pile is ordered by name ""e.g Mrs Claus"", there are 5 gift boxes in each pile. Using a binary search, what is the worst-case complexity?
",0.03464565570908043,0.0654531174482177,0.08902800195883268
6,6,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","What is the time complexity for completing 'n' searches in a balanced binary search tree?
",0.11293014839429445,0.19605274158627495,0.2035551337132769
7,7,8,"case, bad, quicksort, space, complexity, scenario, teach, cast, bubblesort, exception","What is the worst case time complexity of the merge sort
",0.3209375540961525,0.4632690901014238,0.4710377177995335
8,8,14,"value, operation, perform, similar, expect, many, page, real, note, temp","Which data structure is described by:the value at each node is = the values at its two children.
",0.08118721870345821,0.14575392037645538,0.15104801034480836
9,9,47,"complexity, time, for, give, large, asymptotic, follow, loop, byo, nest","An algorithm has a time complexity of?(n^3), when n = 2 it takes 2 seconds to complete how long does it take to complete when n = 4
",0.11783144109651157,0.19984788433071446,0.21190613598818772
10,10,29,"hash, table, function, number, bucket, find, use, close, step, insert","I am using the hash function H(x) = x % 7 to add functions to an open hash table. This hash table is indexed 0 to 6, with each bucket having a max length of 3.If a bucket ""overflows"", ie it is full and another element is added, this element is added to an overflow bucket.How many elements are inserted into the overflow bucket after the following elements are inserted?Elements inserted left to right (ie 29 is first insert 69 is last insert) : 29, 64, 63, 16, 48, 74, 143, 39, 80, 281, 4, 69.
",0.09064787240899866,0.16313315598075304,0.19321493805400142
11,11,29,"hash, table, function, number, bucket, find, use, close, step, insert","Given a load factor of 0.3 what is the average number of steps for a Closed Hash table with linear probing to find an item.
",0.1292285931216186,0.2186019079662507,0.23942076096404494
12,12,12,"datum, structure, item, remove, data, implement, add, fast, follow, make","You have been approached by a company to recommend a fast and efficient sorting algorithm to use in Java. They often deal with large inputs of numerical data, and have limited storage. Which sorting algorithm is most suitable?
",0.06594912760834631,0.12283133649983452,0.139420327901349
13,13,35,"sort, algorithm, follow, stable, average, best, unstable, would, insertionsort, equal","What is the time complexity of the following algorithm : 0.00001n4 + 100n2 + 19nlogn + (10n2* 5n3 ) ?
",0.13299734891716983,0.2302279296455073,0.24137013339681226
14,14,35,"sort, algorithm, follow, stable, average, best, unstable, would, insertionsort, equal","What is the time complexity of the following algorithm : 0.00001n4 + 100n2 + 19nlogn + (10n2* 5n3 ) ?
",0.13299734891716983,0.2302279296455073,0.24137013339681226
15,15,49,"big, theta, notation, omega, exact, estimate, estimation, boundbig, identify, aka","Which formal definition represents an algorithm operating asymptotically equal as f(x)?
",0.02566498316498316,0.04798357963875205,0.04853107682322557
16,16,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","It's another Monday morning and you've just rolled up to your workstation at an unnamed car manufacturing company. But, egads! You find that all of the computers have been struck with ransomware!The ransomware states that all of your important, company related files have been encrypted. In order to decrypt them, you can either send 5 BTC to a shady BTC wallet address OR you can solve the following AVL-Tree question.Given the following AVL Tree:what will the tree look like after the number7 has been inserted?
",0.08339679734871763,0.14857803570955438,0.16754012924533257
17,17,16,"statement, follow, false, child, rule, position, new, mean, involve, mistake","Which one of the following statements regarding sorting is incorrect?
",0.27605749643834365,0.41046249385456995,0.4229290982756236
18,18,24,"determine, start, want, divide, line, word, weight, grain, need, build","How does a Dijkstra's Algorithm behave when all of the edges are weighted equally?
",0.03414351851851852,0.06601731601731602,0.09139857004892912
19,19,47,"complexity, time, for, give, large, asymptotic, follow, loop, byo, nest","Given the functionsf(x) = 0.1 n5g(x) = 50 nlognh(x) = 0.5 2nhint ( O = at least , ? = at most, O = exactly (both O and? apply))Which of the following is true ?
",0.10191371176276501,0.17642234290215572,0.18775592615887518
20,20,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","Build an AVL Tree with the following values:15, 20, 24, 10, 13, 7, 30, 36, 25Which value does the root node point to?
",0.07682066674211194,0.13828029936050856,0.15275343346283307
21,21,8,"case, bad, quicksort, space, complexity, scenario, teach, cast, bubblesort, exception","What is the best and worst case for Merge Sort?
",0.27058403920138185,0.40536464973353253,0.41265089604834715
22,22,18,"call, represent, whereis, areedge, natural, assign, calculateand, view, content, top","Which of the max heaps A-H could be represented in an array?
",0.0,0.0,0.0
23,23,47,"complexity, time, for, give, large, asymptotic, follow, loop, byo, nest","Given an integer array of randomly ordered 0's and 1's what is the worst case time complexity to sort them so that all the 0's come before the 1's. Use the most efficient sorting algorithm given the conditions of the array.
",0.1042267256049429,0.18196336889585138,0.19598767761398564
24,24,4,"store, must, number, able, book, like, quickly, application, product, could","Which of the following does the method used to find a number in a phone book most closely resemble?
",0.07012019108272338,0.1282573058723618,0.152701925534001
25,25,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","Consider the following binary search treeWhen completing a post order traversal what is the correct order
",0.08804294182084121,0.15676940830355157,0.16975881006114002
26,26,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","Consider an AVL tree where the following have been inserted (in the given order):10, 2, 21, 55, 69, 9, 79, 10After removing 55, what would the output of the In Order traversal of the tree be ?
",0.0887154942045221,0.15827900453317797,0.17163498505881858
27,27,16,"statement, follow, false, child, rule, position, new, mean, involve, mistake","Which of the following rules for big O is FALSE?
",0.24988966568879864,0.3803366248870561,0.3921375001976659
28,28,48,"graph, edge, vertex, number, use, undirected, direct, start, ordering, people","Alice is organising a dinner party between a few close friends at her workplace. She is trying to figure out the seating plan and working on sending the invites. Most of the invitees know each other, so the number of friendships is larger than the number of invitees. Alice thinks a graph would help her figure out the seating plan where all the invitees are vertices and friendships of each person are edges.Alice also wants to store names along with employee ID numbers, which are 5 digit numbers, in order to send out email invites for the party.Which data structures are most suitable for each of these uses?
",0.05969338737711849,0.10985488626119876,0.1446038632633189
29,29,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","What is the worst case run time when trying to find an element in an AVL tree that consists of m * 2n elements ?
",0.09029500249596306,0.1612177300426373,0.17422384392115953
30,30,27,"for, follow, int, code, runtime, method, get, correctly, property, class","Which of the following best describes the run time of this algorithm:for(int i = 0; i<N; i++){ int j = -1; while(j<i){ System.out.println(""Good luck in your exams""); j++; } for(k=0; k<T; k++){ System.out.println(""You'll smash them!""); }}
",0.11397284977068733,0.1929440963006531,0.20069294520912492
31,31,15,"difference, choice, set, programming, quickly, can, critical, powerful, safety, application","What is theoretical analysis of an algorithm?
",0.10512820512820513,0.18907563025210083,0.22751271036464712
32,32,35,"sort, algorithm, follow, stable, average, best, unstable, would, insertionsort, equal","Listed below are sorting algorithms that are considered to be stable. However, one of them can be unstable depending on the implementation. Please select that sort.
",0.12392995983695611,0.21616751853310423,0.22909217278036456
