,Document_No,Dominant_Topic_1,Topic_Keywords_1,Question,Avg_J,Avg_SD,Avg_C
0,0,27,"for, follow, int, code, runtime, method, get, correctly, property, class","The runtime for the following code fragment is ?(f(n)). What is f(n)?for (int i=0; i<n; i++) for (int j=0; j<i/10; j++) for (int k=1; k<n; k=2*k) System.out.println(i);
",0.12200488571903668,0.19895716521228152,0.20638840954404777
1,1,32,"index, definition, low, high, possible, bind, parent, assume, lecture, exist","An algorithm has time complexity . Using the Definition of Big-Oh as given in the 2019 Week 1a Lecture (slide 14), fix B = 4.Assuming, what is the lowest possible value of b for which the definition holds?
",0.13793092159791737,0.2215918145123311,0.24566298826747657
2,2,41,"sort, take, use, selection, many, order, would, bubble, quick, ascend","Which one of the following sorting algorithms is the quickest for an almost sorted array?
",0.10318947255683479,0.18216611223435375,0.18907053230177717
3,3,47,"complexity, time, for, give, large, asymptotic, follow, loop, byo, nest","What is the Big oh complexity of heap sort?
",0.1573587000609202,0.2590214327805424,0.2773989274604308
4,4,35,"sort, algorithm, follow, stable, average, best, unstable, would, insertionsort, equal","What is the time complexity of Dijkstra's Algorithm without a min-priority queue?
",0.1438259421179495,0.24612346737386556,0.2521577888336757
5,5,17,"insertion, already, term, label, counter, may, many, suitable, situation, use","Santa has had one too many beers while flying the sleigh back to the North Pole when the police pull him over. The police ask for hisEASA Part-FCL commercial pilot license (CPL) and he realises that he left it in one of 60 remaining gift boxes. The gift box he needs to find is labelled ""Santa Claus"" with ""North Pole"" on. Each location ""e.g Africa"" is put into its own pile, there are 12 remaining piles in total. Each pile is ordered by name ""e.g Mrs Claus"", there are 5 gift boxes in each pile. Using a binary search, what is the worst-case complexity?
",0.04029450259735797,0.07567662036573954,0.09899358941214081
6,6,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","What is the time complexity for completing 'n' searches in a balanced binary search tree?
",0.11389098449525843,0.19759849906427276,0.2048615813686052
7,7,8,"case, bad, quicksort, space, complexity, scenario, teach, cast, bubblesort, exception","What is the worst case time complexity of the merge sort
",0.3109363165662802,0.45037333256078227,0.4578294866778763
8,8,14,"value, operation, perform, similar, expect, many, page, real, note, temp","Which data structure is described by:the value at each node is = the values at its two children.
",0.08094876152236097,0.14485478332426668,0.14931260408682412
9,9,47,"complexity, time, for, give, large, asymptotic, follow, loop, byo, nest","An algorithm has a time complexity of?(n^3), when n = 2 it takes 2 seconds to complete how long does it take to complete when n = 4
",0.11529871827719601,0.1960618421415364,0.2082221782670423
10,10,29,"hash, table, function, number, bucket, find, use, close, step, insert","I am using the hash function H(x) = x % 7 to add functions to an open hash table. This hash table is indexed 0 to 6, with each bucket having a max length of 3.If a bucket ""overflows"", ie it is full and another element is added, this element is added to an overflow bucket.How many elements are inserted into the overflow bucket after the following elements are inserted?Elements inserted left to right (ie 29 is first insert 69 is last insert) : 29, 64, 63, 16, 48, 74, 143, 39, 80, 281, 4, 69.
",0.08920622407654956,0.16071074722709938,0.1910082908660735
11,11,29,"hash, table, function, number, bucket, find, use, close, step, insert","Given a load factor of 0.3 what is the average number of steps for a Closed Hash table with linear probing to find an item.
",0.12766789213413976,0.2163365145953133,0.23711915850163942
12,12,12,"datum, structure, item, remove, data, implement, add, fast, follow, make","You have been approached by a company to recommend a fast and efficient sorting algorithm to use in Java. They often deal with large inputs of numerical data, and have limited storage. Which sorting algorithm is most suitable?
",0.0712914711562298,0.13195716873887434,0.1501531581979752
13,13,35,"sort, algorithm, follow, stable, average, best, unstable, would, insertionsort, equal","What is the time complexity of the following algorithm : 0.00001n4 + 100n2 + 19nlogn + (10n2* 5n3 ) ?
",0.13427567939606946,0.23233819872558586,0.24389867345790556
14,14,35,"sort, algorithm, follow, stable, average, best, unstable, would, insertionsort, equal","What is the time complexity of the following algorithm : 0.00001n4 + 100n2 + 19nlogn + (10n2* 5n3 ) ?
",0.13427567939606946,0.23233819872558586,0.24389867345790556
15,15,49,"big, theta, notation, omega, exact, estimate, estimation, boundbig, identify, aka","Which formal definition represents an algorithm operating asymptotically equal as f(x)?
",0.02566498316498316,0.04798357963875205,0.04853107682322557
16,16,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","It's another Monday morning and you've just rolled up to your workstation at an unnamed car manufacturing company. But, egads! You find that all of the computers have been struck with ransomware!The ransomware states that all of your important, company related files have been encrypted. In order to decrypt them, you can either send 5 BTC to a shady BTC wallet address OR you can solve the following AVL-Tree question.Given the following AVL Tree:what will the tree look like after the number7 has been inserted?
",0.08387365917941095,0.14935441106364641,0.16840562072833717
17,17,16,"statement, follow, false, child, rule, position, new, mean, involve, mistake","Which one of the following statements regarding sorting is incorrect?
",0.2761162462404738,0.4103901487419154,0.4231846029983228
18,18,24,"determine, start, want, divide, line, word, weight, grain, need, build","How does a Dijkstra's Algorithm behave when all of the edges are weighted equally?
",0.03414351851851852,0.06601731601731602,0.09139857004892912
