,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Question
1319,1319,0.0,0.016699999570846558,"vertex, edge, graph, change, show, matrix, also, if, formula, name",[],"What is 2^35 mod 7?
"
35,35,0.0,0.4742000102996826,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['organise', 'party', 'close', 'friend', 'workplace', 'try', 'figure', 'work', 'send', 'invite', 'invitee', 'know', 'number', 'friendship', 'large', 'number', 'invitee', 'think', 'graph', 'would', 'help', 'figure', 'invitee', 'vertex', 'friendship', 'person', 'edgesalice', 'also', 'want', 'store', 'name', 'along', 'employee', 'would', 'number', 'digit', 'number', 'order', 'send', 'email', 'invite', 'for', 'partywhich', 'data', 'structure', 'suitable', 'for', 'use']","Alice is organising a dinner party between a few close friends at her workplace. She is trying to figure out the seating plan and working on sending the invites. Most of the invitees know each other, so the number of friendships is larger than the number of invitees. Alice thinks a graph would help her figure out the seating plan where all the invitees are vertices and friendships of each person are edges.Alice also wants to store names along with employee ID numbers, which are 5 digit numbers, in order to send out email invites for the party.Which data structures are most suitable for each of these uses?
"
322,322,0.0,0.23270000517368317,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['graph', 'edge', 'go', 'vertex', 'specific', 'direction', 'know']","A graph in which all edges go from one vertex to another in a specific direction is known as what?
"
37,37,0.0,0.016699999570846558,"vertex, edge, graph, change, show, matrix, also, if, formula, name",[],"What is the time complexity of this algorithm: 5n3+ 100n2+ 0.1n3.5 + 1000n?
"
1924,1924,0.0,0.23469999432563782,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['theory', 'undirected', 'graph', 'number', 'vertice', 'odd', 'degree', 'even', 'lemma', 'consequence', 'thedegree', 'formula', 'for', 'graph', 'vertex', 'set', 'edge', 'set', 'work', 'sum', 'degree', 'vertex', 'for', 'follow', 'undirected', 'graph']","In graph theory, the handshaking lemma states that ""In any finite undirected graph, the number of vertices with odd degree is even"".The lemma is a consequence of thedegree sum formula: for a graph with vertex set and edge set .Work out the sum of degrees of the vertices for the following undirected graph:
"
1328,1328,0.0,0.016699999570846558,"vertex, edge, graph, change, show, matrix, also, if, formula, name",[],"What is the shortest path from u to z?
"
172,172,0.0,0.016699999570846558,"vertex, edge, graph, change, show, matrix, also, if, formula, name",[],"What is 16^71 mod 71?16^71 = x mod71.x=?
"
780,780,0.0,0.3765999972820282,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['say', 'want', 'store', 'data', 'graph', 'datum', 'show', 'factory', 'produce', 'certain', 'resource', 'supply', 'factory', 'factory', 'deliver', 'resource', 'approximately', 'factory', 'shall', 'store', 'graph']","Say we want to store data in a graph. The data shows which factories, that produce certain resources, supply to some of the other factories. There are 100 factories, each of which deliver resources to approximately 15 other factories each. How shall we store the graph?
"
1652,1652,0.0,0.24240000545978546,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['definition', 'direct', 'graph', 'edge', 'directional', 'go', 'way', 'along', 'edge', 'edge', 'go', 'vertex', 'specific', 'direction', 'planation', 'see']","Which of these is the definition of a directed graph?
"
241,241,0.0,0.016699999570846558,"vertex, edge, graph, change, show, matrix, also, if, formula, name",[],"What is 2^35 mod 7?
"
1764,1764,0.0,0.2734000086784363,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['follow', 'statement', 'best', 'describe', 'undirected', 'graph', 'edge', 'go', 'vertex', 'specific', 'direction', 'must', 'edges', 'vertex', 'edge', 'directional', 'go', 'way', 'along', 'edge', 'edge', 'must', 'go', 'back', 'node', 'come', 'none']","Which of the following statements best describes an undirected graph?
"
